id,article_id,author_id
1,1,1
2,1,2
3,1,3
4,2,4
5,3,4
6,4,4
7,5,5
8,6,6
9,7,7
10,7,8
11,8,9
12,9,7
13,9,8
14,10,4
15,11,4
16,12,10
17,13,11
18,14,10
19,15,4
20,16,12
21,16,13
22,17,4
23,18,12
24,18,13
25,19,14
26,20,15
27,21,9
28,22,4
29,23,16
30,24,9
31,25,4
32,26,8
33,26,7
34,27,4
35,28,8
36,28,7
37,29,8
38,29,7
39,30,4
40,31,4
41,32,4
42,33,17
43,34,4
44,35,18
45,36,19
46,37,4
47,38,4
48,39,20
49,40,9
50,41,21
51,41,22
52,42,23
53,42,9
54,43,4
55,44,24
56,45,4
57,46,4
58,47,4
59,48,25
60,49,26
61,50,27
62,51,4
63,52,25
64,52,28
65,53,25
66,53,28
67,54,25
68,54,28
69,55,4
70,56,4
71,57,28
72,57,29
73,58,4
74,59,26
75,60,4
76,61,4
77,62,30
78,62,26
79,63,31
80,64,32
81,64,33
82,65,10
83,66,9
84,67,34
85,68,35
86,68,36
87,69,37
88,70,26
89,71,9
90,72,9
91,73,38
92,73,9
93,74,39
94,75,9
95,76,40
96,76,3
97,77,9
98,78,4
99,79,14
100,79,13
101,80,41
102,80,42
103,81,9
104,82,9
105,83,9
106,84,43
107,84,17
108,85,4
109,86,14
110,87,14
111,88,4
112,89,44
113,90,27
114,90,25
115,91,44
116,92,14
117,92,13
118,93,4
119,94,4
120,95,4
121,96,4
122,97,4
123,98,4
124,99,4
125,100,45
